"[基本集計]","...2","...3","...4","長期時系列表１　ｃ－３　主な産業別就業者　【第12～14回改定日本標準産業分類】 － 全国、月別結果...5","...6","...7","...8","...9","...10","...11","...12","...13","長期時系列表１　ｃ－３　主な産業別就業者　【第12～14回改定日本標準産業分類】 － 全国、月別結果...14","...15","...16","...17","...18","...19","...20","...21","...22"
"[Basic Tabulation]",NA,NA,NA,"Historical data 1  c-3    Employed person by major industry [12th, 13th and 14th revision industrial classification]  - Whole Japan, Monthly Data",NA,NA,NA,NA,NA,NA,NA,NA,"Historical data 1  c-3    Employed person by major industry [12th, 13th and 14th revision industrial classification]  - Whole Japan, Monthly Data",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"(万人)","(ten thousand persons)",NA,NA,NA,NA,NA,NA,NA,"(万人)","(ten thousand persons)",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"　原数値　　　Original series",NA,NA,NA,NA,NA,NA,NA,NA,"　原数値　　　Original series",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"年　　月
Year and month",NA,NA,NA,"総数","農業，林業","非農林業","建設業","製造業","情報通信業","運輸業，郵便業","卸売業，小売業","金融業，保険業","不動産業，物品賃貸業","学術研究，専門・技術サービス業","宿泊業，飲食サービス業","生活関連サービス業，娯楽業","教育，学習支援業","医療，福祉","複合サービス事業","サービス業（他に分類されないもの）","公務（他に分類されるものを除く）"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"※注_Notes","4月","Apr.",NA,"6326","237","6090","507","1044","189","347","1054","177","115","210","383","234","315","718","54","385","216"
NA,"5月","May",NA,"6354","243","6112","504","1041","198","339","1043","179","116","209","377","243","294","729","56","397","235"
NA,"6月","June",NA,"6348","238","6112","501","1046","198","331","1041","171","112","214","380","243","302","735","58","396","240"
NA,"7月","July",NA,"6326","223","6104","473","1055","195","323","1056","174","110","222","376","247","294","743","56","402","235"
NA,"8月","Aug.",NA,"6326","222","6105","485","1038","195","329","1084","171","114","207","377","249","279","738","51","407","240"
NA,"9月","Sept.",NA,"6375","249","6127","506","1039","197","340","1086","159","111","196","389","248","294","733","49","416","226"
NA,"10月","Oct.",NA,"6383","238","6146","511","1043","198","344","1088","156","108","201","397","248","296","733","56","410","214"
NA,"11月","Nov.",NA,"6388","217","6171","510","1051","191","351","1070","165","116","202","398","242","305","747","58","412","224"
NA,"12月","Dec.",NA,"6337","193","6145","493","1042","186","354","1064","154","111","213","391","240","307","748","61","410","240"
"平成26年","1月","Jan.",NA,"6280","168","6113","492","1026","197","339","1072","151","108","221","379","233","307","748","53","417","235"
"2014","2月","Feb.",NA,"6301","168","6134","499","1037","204","328","1061","150","110","215","382","230","308","773","60","400","241"
NA,"3月","Mar.",NA,"6317","198","6120","510","1064","205","333","1040","144","114","209","397","233","299","751","59","380","227"
NA,"4月","Apr.",NA,"6357","219","6139","511","1083","195","333","1041","154","112","211","389","243","301","755","52","379","219"
NA,"5月","May",NA,"6418","232","6187","512","1049","202","343","1055","158","115","209","380","242","299","773","59","390","246"
NA,"6月","June",NA,"6409","231","6179","503","1040","207","347","1058","154","113","218","388","247","316","752","57","398","243"
NA,"7月","July",NA,"6378","221","6158","493","1061","212","341","1040","163","118","219","377","242","297","751","60","387","236"
NA,"8月","Aug.",NA,"6384","226","6159","508","1039","203","328","1063","172","116","205","375","244","288","756","57","404","237"
NA,"9月","Sept.",NA,"6424","240","6185","507","1037","202","332","1087","159","109","209","394","237","307","755","56","404","237"
NA,"10月","Oct.",NA,"6412","228","6185","526","1031","212","343","1086","150","111","211","386","232","299","756","56","400","232"
NA,"11月","Nov.",NA,"6394","203","6192","518","1022","205","341","1071","153","116","212","396","234","296","782","55","408","231"
NA,"12月","Dec.",NA,"6380","185","6197","505","1030","202","341","1076","149","119","213","394","236","302","764","61","417","240"
"平成27年","1月","Jan.",NA,"6332","177","6156","491","1038","203","334","1077","149","114","219","378","227","304","749","61","422","226"
"2015","2月","Feb.",NA,"6346","169","6178","481","1055","201","340","1075","153","117","215","377","221","305","775","59","421","229"
NA,"3月","Mar.",NA,"6343","195","6148","500","1061","199","334","1053","147","121","213","377","229","292","784","58","407","223"
NA,"4月","Apr.",NA,"6367","223","6145","512","1070","210","318","1027","147","120","215","374","235","299","786","57","403","217"
NA,"5月","May",NA,"6425","241","6185","507","1047","213","327","1042","149","118","212","377","221","305","809","62","409","232"
NA,"6月","June",NA,"6451","241","6211","512","1024","219","332","1052","151","115","217","388","228","314","803","61","409","230"
NA,"7月","July",NA,"6407","226","6182","500","1042","217","342","1033","165","116","210","376","235","306","781","57","398","240"
NA,"8月","Aug.",NA,"6406","226","6181","493","1016","205","345","1051","168","125","202","379","233","298","793","60","403","240"
NA,"9月","Sept.",NA,"6466","231","6236","507","996","216","330","1087","159","128","224","401","232","313","790","62","404","239"
NA,"10月","Oct.",NA,"6460","215","6246","519","1029","214","337","1070","156","129","224","399","235","310","781","58","411","237"
NA,"11月","Nov.",NA,"6407","190","6217","511","1041","209","340","1056","153","127","216","399","233","303","800","59","406","227"
NA,"12月","Dec.",NA,"6412","172","6240","497","1054","208","352","1077","151","121","208","389","238","301","801","59","412","231"
"平成28年","1月","Jan.",NA,"6426","169","6257","474","1077","201","355","1079","155","119","214","398","229","308","787","60","435","219"
"2016","2月","Feb.",NA,"6379","161","6218","481","1049","194","344","1075","162","121","213","401","227","309","796","61","425","222"
NA,"3月","Mar.",NA,"6367","174","6193","493","1039","205","335","1059","160","127","220","381","230","299","811","61","408","227"
NA,"4月","Apr.",NA,"6424","204","6221","501","1060","212","327","1056","159","122","224","373","239","301","803","57","401","236"
NA,"5月","May",NA,"6475","228","6247","500","1045","212","325","1048","165","124","222","377","233","296","837","58","405","239"
NA,"6月","June",NA,"6527","237","6291","498","1031","210","335","1044","166","116","228","384","230","308","846","64","420","243"
NA,"7月","July",NA,"6510","224","6286","496","1043","206","339","1047","164","114","222","397","244","316","813","61","410","237"
NA,"8月","Aug.",NA,"6495","221","6274","497","1033","204","348","1065","169","125","218","394","246","304","815","61","399","232"
NA,"9月","Sept.",NA,"6529","225","6304","494","1038","219","328","1071","170","132","225","392","239","309","815","65","425","226"
NA,"10月","Oct.",NA,"6527","221","6306","496","1051","214","331","1065","167","131","230","402","231","317","810","63","415","229"
NA,"11月","Nov.",NA,"6485","201","6284","504","1037","213","350","1072","157","130","223","399","231","315","795","62","406","225"
NA,"12月","Dec.",NA,"6498","171","6327","503","1045","205","349","1086","156","129","215","391","232","312","809","65","434","235"
"平成29年","1月","Jan.",NA,"6479","160","6318","502","1048","199","345","1102","155","132","217","391","231","320","805","63","432","228"
"2017","2月","Feb.",NA,"6436","166","6269","494","1058","208","346","1093","157","129","216","397","222","315","777","60","426","234"
NA,"3月","Mar.",NA,"6443","178","6265","489","1068","212","332","1056","166","129","231","386","227","308","795","56","418","236"
NA,"4月","Apr.",NA,"6510","202","6308","493","1055","218","335","1068","169","125","236","370","249","311","814","55","409","238"
NA,"5月","May",NA,"6558","225","6333","494","1059","216","334","1070","163","118","240","383","239","311","829","58","420","231"
NA,"6月","June",NA,"6595","222","6373","505","1041","217","337","1048","174","119","242","400","234","315","838","59","447","228"
NA,"7月","July",NA,"6575","223","6352","508","1049","205","340","1076","175","118","233","404","232","316","837","57","425","214"
NA,"8月","Aug.",NA,"6586","225","6361","507","1047","199","346","1102","171","131","229","407","232","303","817","55","430","222"
NA,"9月","Sept.",NA,"6609","221","6388","501","1065","221","341","1094","182","129","221","386","242","308","809","58","444","232"
NA,"10月","Oct.",NA,"6595","213","6382","506","1063","231","341","1082","178","116","230","387","238","325","824","54","434","226"
NA,"11月","Nov.",NA,"6566","200","6366","497","1052","213","351","1073","164","125","233","393","229","329","822","52","431","235"
NA,"12月","Dec.",NA,"6557","177","6379","495","1043","210","341","1069","157","131","236","392","230","330","830","59","445","242"
"平成30年","1月","Jan.",NA,"6577","167","6410","509","1051","209","348","1073","152","128","236","414","225","338","809","62","443","242"
"2018","2月","Feb.",NA,"6594","187","6407","498","1085","213","343","1086","160","132","230","404","224","325","788","57","445","240"
NA,"3月","Mar.",NA,"6637","204","6433","502","1084","226","338","1056","168","134","236","418","233","313","802","58","456","234"
NA,"4月","Apr.",NA,"6688","222","6467","505","1056","231","332","1081","174","131","239","415","239","310","828","55","438","237"
NA,"5月","May",NA,"6716","235","6481","495","1068","231","340","1080","175","129","254","405","250","306","844","53","425","231"
NA,"6月","June",NA,"6705","228","6477","514","1054","217","343","1042","178","128","249","418","246","314","847","55","442","228"
NA,"7月","July",NA,"6679","220","6459","509","1046","222","338","1069","166","128","242","417","237","323","862","57","432","232"
NA,"8月","Aug.",NA,"6701","227","6474","518","1060","218","337","1093","152","130","236","413","227","317","849","56","448","237"
NA,"9月","Sept.",NA,"6735","218","6518","519","1070","217","339","1101","158","132","244","420","240","324","830","56","458","232"
NA,"10月","Oct.",NA,"6745","213","6532","498","1056","233","342","1092","166","129","247","440","243","329","840","59","448","228"
NA,"11月","Nov.",NA,"6730","210","6520","503","1067","216","348","1067","162","138","233","428","239","328","861","54","455","228"
NA,"12月","Dec.",NA,"6677","190","6488","483","1067","219","353","1068","161","128","238","412","235","341","845","56","459","230"
"平成31年","1月","Jan.",NA,"6650","172","6478","474","1059","229","362","1066","158","119","239","416","231","351","820","52","455","254"
"2019","2月","Feb.",NA,"6679","178","6501","497","1072","236","350","1055","162","126","228","412","237","333","838","54","454","260"
NA,"3月","Mar.",NA,"6710","195","6514","510","1073","227","338","1070","158","133","224","416","232","328","842","57","461","245"
NA,"4月","Apr.",NA,"6732","210","6522","504","1061","223","337","1085","166","125","240","420","237","327","844","54","458","233"
"令和元年","5月","May",NA,"6756","225","6531","500","1072","225","352","1073","175","129","253","415","254","333","836","49","446","227"
NA,"6月","June",NA,"6772","222","6550","506","1077","228","364","1042","170","142","241","408","248","343","855","50","452","243"
NA,"7月","July",NA,"6756","217","6540","497","1069","244","351","1024","158","133","229","407","250","351","872","55","460","254"
NA,"8月","Aug.",NA,"6777","223","6554","510","1083","234","347","1053","163","128","228","420","244","331","855","57","461","249"
NA,"9月","Sept.",NA,"6794","224","6571","504","1073","221","344","1065","169","130","248","452","246","325","853","53","456","241"
NA,"10月","Oct.",NA,"6814","218","6596","496","1037","226","346","1077","168","132","260","454","254","331","857","56","456","247"
NA,"11月","Nov.",NA,"6790","212","6578","515","1067","229","343","1071","178","131","252","421","240","335","849","57","462","234"
NA,"12月","Dec.",NA,"6765","195","6570","490","1070","237","348","1084","180","132","249","415","235","343","843","54","465","230"
"令和 2年","1月","Jan.",NA,"6716","184","6533","461","1065","245","354","1089","161","133","247","408","232","340","852","50","458","246"
"2020","2月","Feb.",NA,"6720","175","6545","505","1058","231","350","1100","155","134","227","406","238","332","864","47","457","266"
NA,"3月","Mar.",NA,"6730","188","6542","514","1050","229","351","1088","153","136","237","402","235","318","883","53","456","260"
NA,"4月","Apr.",NA,"6658","211","6448","493","1046","243","353","1054","164","140","249","374","226","321","860","52","451","241"
NA,"5月","May",NA,"6687","217","6470","488","1047","240","363","1046","170","139","251","377","225","342","846","50","469","242"
NA,"6月","June",NA,"6701","215","6486","475","1065","231","350","1028","167","140","255","370","226","363","864","49","468","254"
NA,"7月","July",NA,"6687","209","6477","477","1062","250","343","1016","159","147","238","385","232","361","868","50","447","257"
NA,"8月","Aug.",NA,"6708","212","6496","499","1032","245","341","1038","173","145","229","392","238","349","866","51","459","252"
NA,"9月","Sept.",NA,"6722","199","6523","506","1035","240","342","1068","188","145","245","404","246","337","872","51","448","246"
NA,"10月","Oct.",NA,"6736","206","6530","503","1044","233","351","1086","175","141","255","412","248","333","873","52","446","245"
NA,"11月","Nov.",NA,"6750","201","6549","508","1050","249","345","1071","171","150","255","393","249","347","878","52","447","237"
NA,"12月","Dec.",NA,"6708","182","6526","500","1061","259","349","1064","170","136","251","387","232","352","878","51","444","243"
"令和 3年","1月","Jan.",NA,"6678","178","6500","483","1053","255","367","1068","161","140","253","370","225","355","884","50","440","250"
"2021","2月","Feb.",NA,"6693","171","6522","491","1037","244","352","1100","163","146","244","361","235","357","891","46","439","262"
NA,"3月","Mar.",NA,"6695","187","6508","502","1039","254","347","1089","160","141","240","363","233","334","906","51","438","264"
NA,"4月","Apr.",NA,"6703","215","6488","501","1046","259","344","1063","156","132","255","355","231","338","899","52","442","258"
NA,"5月","May",NA,"6713","210","6503","487","1035","250","349","1057","157","129","255","371","226","351","899","48","472","252"
NA,"6月","June",NA,"6738","204","6534","468","1063","258","353","1079","168","139","252","384","224","340","872","50","473","258"
NA,"7月","July",NA,"6757","215","6542","472","1059","259","350","1080","170","148","262","387","227","342","871","52","448","261"
NA,"8月","Aug.",NA,"6739","218","6521","488","1049","255","338","1056","167","141","263","368","232","359","898","52","454","249"
NA,"9月","Sept.",NA,"6726","202","6523","498","1029","261","342","1067","182","144","259","371","219","355","894","55","457","239"
NA,"10月","Oct.",NA,"6705","187","6518","490","1044","257","366","1055","176","148","268","368","221","345","889","49","454","238"
NA,"11月","Nov.",NA,"6696","182","6514","474","1029","272","365","1060","173","148","248","374","224","357","897","50","455","236"
NA,"12月","Dec.",NA,"6706","171","6535","465","1060","274","357","1060","179","145","248","385","223","345","894","50","452","238"
"令和 4年","1月","Jan.",NA,"6646","174","6472","475","1057","251","354","1049","159","140","259","373","219","341","892","51","450","246"
"2022","2月","Feb.",NA,"6658","173","6485","500","1040","252","357","1054","152","143","247","371","228","337","900","51","441","256"
NA,"3月","Mar.",NA,"6684","179","6506","492","1053","264","355","1050","153","144","249","364","223","339","904","52","451","258"
NA,"4月","Apr.",NA,"6727","197","6530","478","1027","273","352","1032","150","138","252","365","219","364","946","54","464","254"
NA,"5月","May",NA,"6730","207","6522","462","1026","272","352","1018","153","143","262","368","224","351","945","51","485","244"
NA,"6月","June",NA,"6759","208","6551","464","1045","281","348","1041","164","145","266","379","227","335","902","49","483","255"
NA,"7月","July",NA,"6755","211","6544","458","1042","290","360","1047","165","142","253","390","239","349","883","51","474","252"
